"","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"127","DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO COMMERCIAL","HK",1,"GLUE",641769,1843,348.219750406945,"Hong Kong SAR China"
"128","DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO","HK",1,"OTHERS",893942,1090,820.130275229358,"Hong Kong SAR China"
"129","DESK TOP BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO","HK",1,"GLUE",985253,1108,889.217509025271,"Hong Kong SAR China"
"130","DIAMOND DRY MORTAR INC.","AALBORG PORTLAND MALAYSIA SDN","MY",1,"OTHERS",338687,49150,6.89088504577823,"Malaysia"
"131","DIAMOND DRY MORTAR INC.","AALBORG PORTLAND MALAYSIA SDN BHD","MY",1,"OTHERS",590058,96000,6.1464375,"Malaysia"
"132","DIGEE GLASS & ALUMINUM CO","GAUNGZHOU BAIYUN CHEM IND CO LTD","CN",1,"SEAL",630747,1939,325.294997421351,"China"
"133","DKSH PHILIPPINES INC.","ARCHER DANIELS MIDLAND CO.","US",1,"PROTEIN",413118,2000,206.559,"United States"
"134","DLX BAGS PHILIPPINES INC","LUEN THAI FOOTWEAR MACAU COMMERCIAL","HK",1,"GLUE",790493,6006,131.617216117216,"Hong Kong SAR China"
"135","DPO  PHILIPPINES  INC.","BENEO-REMY","BE",1,"STARCH",932645,8250,113.047878787879,"Belgium"
"136","DUTCH BLUE SEA ENTERPRISES","SHENZHEN WAN YU TRADE CO., LTD","CN",1,"GLUE",1075863,17537,61.3481781376518,"China"
"137","DUTCH BLUE SEA ENTERPRISES","DOW CORNING KOREA LTD","KR",1,"SEAL",3121369,44793,69.68430335097,"South Korea"
"138","DUTCH BLUE SEA ENTERPRISES","DOW CORNING KOREA LTD.","KR",1,"SEAL",775247,11737,66.0515463917526,"South Korea"
"139","DYSON ELECTRONICS PTE LTD PH BRANCH","MGY TECHNOLOGY CO.  LTD.","TW",1,"ADHESIVE",1372106,95,14443.2210526316,"Taiwan"
"140","DYSON ELECTRONICS PTE LTD PH BRANCH","VITROCHEM TECHNOLOGY PTE LTD","SG",1,"ADHESIVE",11728959,4580,2560.90807860262,"Singapore"
"141","DYSON ELECTRONICS PTE LTD PH BRANCH","HENKEL SINGAPORE PTE LTD","SG",1,"ADHESIVE",4476321,425,10532.52,"Singapore"
"142","DYSON ELECTRONICS PTE LTD PH BRANCH","MGY TECHNOLOGY CO.  LTD.","JP",1,"ADHESIVE",820519,57,14395.0701754386,"Japan"
"143","DYSON ELECTRONICS PTE LTD PH BRANCH","CREST ULTRASONICS S PTE LTD","SG",1,"OTHERS",342207,14,24443.3571428571,"Singapore"
"144","EASY BIO PHILIPPINES INC.","EASY BIO INC","KR",1,"OTHERS",3457653,17000,203.391352941176,"South Korea"
"145","EATON INDUSTRIES PHILIPPINES LLC","LIAN ZHENG ELECTRONICS SHENZHEN CO","CN",1,"ADHESIVE",466485,1949,239.345818368394,"China"
"146","EATON INDUSTRIES PHILIPPINES LLC","LIAN ZHENG ELECTROBNICS SHENZHEN CO","CN",1,"ADHESIVE",269221,500,538.442,"China"
"147","EATON INDUSTRIES PHILIPPINES LLC P","EPOXYSET INC","US",1,"ADHESIVE",6490875,1377,4713.77995642702,"United States"
"148","EC STRUCTURAL COMPOSITES INC","Fyfe Asia PTE ltd","SG",1,"EPOXY",1753997,5878,298.400306226608,"Singapore"
"149","EDWARD KELLER (PHILIPPINES) INC.","CARGILL DEUTSCHLAND GMBH","DE",1,"STARCH",1240329,18000,68.9071666666667,"Germany"
"150","EDWARD KELLER (PHILIPPINES) INC.","PB LEINER ARGENTINA SA","AR",1,"GELATIN",6420831,20000,321.04155,"Argentina"
"151","ELEMATEC ANGELES INC.","ELEMATEC CORPORATION","JP",1,"EPOXY",2013008,1888,1066.21186440678,"Japan"
"152","ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",1,"ADHESIVE",4140591,1095,3781.36164383562,"Japan"
"153","ELEMATEC PHILIPPINES INC","ASEC CO., LTD.","TW",1,"ADHESIVE",3769488,230,16389.0782608696,"Taiwan"
"154","ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",1,"OTHERS",3252648,1196,2719.60535117057,"Japan"
"155","ENGEL ANLAGEN TECHNIK PHILS. INC.","TH SCHOLTEN GMBH & CO KG","DE",1,"ADHESIVE",1037012,891,1163.87429854097,"Germany"
"156","EPSON PRECISION(PHILIPPINES) INC.","HITACHI CHEMICAL CO., LTD.","JP",1,"OTHERS",550013,15,36667.5333333333,"Japan"
"157","ERCM PRODUCTS INTERNATIONAL INC.","CHUEN HUAH CHEMICAL CO LTD","TW",1,"OTHERS",815836,10800,75.5403703703704,"Taiwan"
"158","ESP PRINTERS INC","HANGZHOU KAIMIKU IMP & EXP","CN",1,"GLUE",2215356,17000,130.315058823529,"China"
"159","EUNICE INC.","KELISEMA SRL","IT",1,"OTHERS",563402,635,887.247244094488,"Italy"
"160","EUNICE INC.","ALISPED S.P.A","IT",1,"OTHERS",2152214,3200,672.566875,"Italy"
"161","EUROASIA MARBLE AND GRANITE INC","XIAMEN ASPIRASTONE IMPORT AND EXPOR","CN",1,"GLUE",541514,2340,231.416239316239,"China"
"162","EXCELLENT TEXSCREENERS INC.","DING YI PRINTING CO LTD","CN",1,"OTHERS",3340370,4572,730.614610673666,"China"
"163","FABCON PHILS. INC.","CATALYSTS BIOTECHNOLOGIES PVT","IN",1,"OTHERS",1397542,2000,698.771,"India"
"164","FAIRCHILD SEMICONDUCTOR (PHILS) INC","ABLESTIK (SHANGHAI)LTD","CN",1,"OTHERS",4028305,359,11220.9052924791,"China"
"165","FAIRCHILD SEMICONDUCTOR (PHILS) INC","HENKEL ELECTRONIC MATERIAL LLC","US",1,"OTHERS",405204,56,7235.78571428571,"United States"
"166","FAIRCHILD SEMICONDUCTOR (PHILS) INC","U-OCEAN EXPRESS PTE LTD.","SG",1,"OTHERS",5028185,3351,1500.50283497463,"Singapore"
"167","FASTWORTH MARKETING","SUNG DO CHEMICAL CO LTD","KR",1,"ADHESIVE",909978,21000,43.3322857142857,"South Korea"
"168","FIBERWORLD INC.","RUGAO JAOUR ADHESIVE PRODUCT","CN",1,"ADHESIVE",5237557,50000,104.75114,"China"
"169","FILSPIN INCORPORATED","TAPIOCA DEVELOPMENT CORP., LTD","TH",1,"MODIFIED STARCH",718693,20000,35.93465,"Thailand"
"170","FISCHER PH ASIA INC","FISCHERWERKE GMBH AND CO.KG","DE",1,"OTHERS",409039,1275,320.814901960784,"Germany"
"171","FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",1,"OTHERS",2709720,6902,392.59924659519,"Germany"
"172","FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",1,"EPOXY",3674462,4692,783.133418584825,"Germany"
"173","FLAVORCREST INTERNATIONAL CORPORATI","VRS FOODS LIMITED","IN",1,"OTHERS",8620607,25000,344.82428,"India"
"174","FLEXIBLE PACKAGING PRODUCTS CORP.","TOYO-MORTON LTD","JP",1,"ADHESIVE",5222956,32000,163.217375,"Japan"
"175","FLEXO MANUFACTURING CORPORATION","BENORE LOGISTICS","US",1,"OTHERS",3777702,9988,378.224068882659,"United States"
"176","FLOORSTONE INC","CONVERGENT CONCRETE TECHNOLO","US",1,"SEAL",3670130,8996,407.973543797243,"United States"
"177","FLOWTECH INDUSTRIAL SALES INC","ALL STATE LOGISTICS, INC","US",1,"SEAL",1789745,20000,89.48725,"United States"
"178","FORHOUSTON INTERNATIONAL CORP","ROHM AND HAAS PTE LTD","SG",1,"ADHESIVE",908561,23826,38.1331738437002,"Singapore"
"179","FRABELLE CORPORATION","SOLAE TRADING (SHANGHAI) CO.","CN",1,"PROTEIN",5850338,36000,162.509388888889,"China"
"180","FRABELLE CORPORATION","SHANDONG GAOTANG LANSHAN","CN",1,"PROTEIN",2474025,22000,112.455681818182,"China"
"181","FRABELLE CORPORATION","SOLAE TRADING CO LTD","CN",1,"PROTEIN",3012940,18000,167.385555555556,"China"
"182","FRABELLE CORPORATION","SHANDONG GAOTANG LANSHAN IMPORT AND","CN",1,"PROTEIN",5134977,44000,116.704022727273,"China"
"183","FRUNKPORT ENTERPRISES","YIWU XUZHAN IMP & EXP CO., LTD","CN",1,"GLUE",320910,5712,56.1817226890756,"China"
"184","FUNAI ELECTRIC CEBU INC.","ENGINEERED MATERIAL SYSTEM INC./ EM","US",1,"ADHESIVE",744338,65,11451.3538461538,"United States"
"185","FUNAI ELECTRIC CEBU INC.","THE STROUSE CORPORATION","US",1,"ADHESIVE",522996,64,8171.8125,"United States"
"186","FUNAI ELECTRIC CEBU INC.","STROUSE CORPORATION","US",1,"ADHESIVE",664644,37,17963.3513513513,"United States"
"187","FURUKAWA SANGYO KAISHA PHILIPPINES","NISHI TOKYO CHEMIX CORPORATION","JP",1,"QR ",1196162,122,9804.60655737705,"Japan"
"188","FUTABA CORPORATION OF THE PHIL","FUTABA CORPORATION","JP",1,"POLARIZER",22440981,1206,18607.7786069652,"Japan"
